"datestamp","MunicipalPcode","total.pop","idp.ratio","return.ratio"
2017-02-01,"PCA",1730564,0.328173069588874,0.00086445806107142
2017-02-01,"TAB",172290.25,0.0165520103430113,0.00440535665831351
2017-02-01,"RXS",211882,0.0482815906967085,0.000103831377842384
2017-02-01,"BAT",93296.5,0.0699168779107469,0
2017-02-01,"BRP",56837,0.261467002128895,0.00116121540545771
2017-02-01,"CUG",78168.75,0.204362357080035,0
2017-02-01,"BOP",20281.25,0,0.0230508474576271
2017-02-01,"SLU",563.75,0,1
2017-02-01,"NAP",80756.5,0.278076687325478,0
2017-02-01,"GHG",19294,0.0592930444697834,0
2017-02-01,"TAY",111113.75,0,0
2017-02-01,"LZB",92133.25,0.0889472584544668,0
2017-02-01,"BRT",166339.25,0.187230313951758,0.00160365037115413
2017-02-01,"TUG",102118.5,0.0374320030161038,0.00315075133301018
2017-02-01,"LOP",120983.5,0,0
2017-02-01,"RZP",160528.5,0.653989789974989,0
2017-02-01,"NAR",123879.25,0.47588074677559,0
2017-02-01,"BTS",167180.75,0.019048245686181,0.00662905268698699
2017-02-01,"SFS",254402.5,0.0382445141065831,0.00318884444924873
2017-02-01,"SIA",0,NA,NA
2017-02-01,"STR",7427.75,0,0
2017-02-01,"BLT",123846.25,0.0252248251360053,0
2017-02-01,"RTB",57139.5,0.00457214361343729,0.00274328616806237
2017-02-01,"KAT",2029414.75,0.223929460451591,0.0001463476108075
2017-02-01,"ORI",110077,0.0134405915858899,0.00389727190966324
2017-02-01,"MAB",128103.25,0.0149196058648005,0.00259751411459116
2017-02-01,"KIP",22396,0.0233300589390963,0.0363457760314342
2017-02-01,"CGY",115893.25,0.157368958071329,0
2017-02-01,"POL",46860,0.00586854460093897,0
2017-02-01,"ALC",52123.5,0.13590798775984,0
2017-02-01,"FAM",42366.5,0,0
2017-02-01,"EUQ",343997.5,0.122727636102007,0.00203853225677512
2017-02-01,"ALE",383944,0.183768336007334,0
2017-02-01,"CSB",14311,0.00807071483474251,0.0342044581091468
