"distance","MunicipalPcode.A","MunicipalPcode.B"
88601.9853753015,"MNL","MAN"
84155.6798582903,"MNL","HIM"
90844.2873987591,"MNL","SMR"
109173.907980599,"MNL","IRN"
97338.5336660853,"MNL","SSI"
53723.4842901797,"MNL","TLD"
44796.2826273259,"MNL","PGA"
40561.1187733934,"MNL","LUB"
68396.8750087575,"MNL","PGS"
64015.2782697488,"MNL","POR"
84166.9255422749,"MNL","MLB"
74567.0764396867,"MNL","SOR"
75043.9166400057,"MNL","TAS"
80187.5099334758,"MNL","TLG"
97292.0466157778,"MNL","PAN"
79644.058905539,"MNL","CDO"
110223.907630181,"MNL","OTP"
127150.115033817,"MNL","OZC"
113278.394868685,"MNL","GAP"
131261.60126373,"MNL","TBU"
125313.365222823,"MNL","TIW"
128721.775610516,"MNL","CAV"
79328.3122738309,"MNL","SAE"
83045.7360196735,"MNL","SPO"
67336.8957844708,"MNL","MLL"
58900.4321022622,"MNL","ABU"
68149.7661779397,"MNL","TUI"
50226.8884750038,"MNL","SAM"
73177.8108917094,"MNL","MLO"
63419.0549132642,"MNL","MPH"
90550.5631060698,"MNL","ROM"
90025.0374738504,"MNL","AAV"
307094.008342032,"CHO","MNL"
0,"CHO","CHO"
27737.2246023415,"CHO","IND"
48404.866854119,"CHO","STO"
10399.7528275122,"CHO","TZA"
24543.5040129288,"CHO","MNU"
28290.9709700381,"CHO","VIL"
24739.7343214104,"CHO","SIL"
34670.7480903555,"CHO","NAN"
38947.2264306985,"CHO","STF"
44801.4034793708,"CHO","NAI"
58588.8399575194,"CHO","GTR"
31850.8027019278,"CHO","NOV"
46721.6377958216,"CHO","MIC"
54037.065261886,"CHO","DAS"
37941.8085121701,"CHO","TAC"
